type;text;priority_systems
outcome_target;100% operationalization of NDCs with Adaptation components, National Adaptation Plans, and Locally-Led Principles, enabling adaptation in a country-driven localized and consultative manner;Cross-cutting Enabler: Planning
affirmation;10,000 cities develop evidence-based adaptation and resilience plans to prepare for climate risks.;Cross-cutting Enabler: Planning
affirmation;Regional governments integrate climate impact data into their resilience planning processes.;Cross-cutting Enabler: Planning
affirmation;2,000 companies adopt actionable adaptation plans to mitigate climate-related risks to their operations.;Cross-cutting Enabler: Planning
affirmation;Ensuring universal access to climate data empowers decision-makers at all levels.;Cross-cutting Enabler: Planning
affirmation;Operationalizing National Adaptation Plans enhances country-driven resilience strategies.;Cross-cutting Enabler: Planning
affirmation;Integrating Locally-Led Principles ensures that adaptation planning addresses grassroots priorities.;Cross-cutting Enabler: Planning
affirmation;Collaborative planning between public and private sectors accelerates climate adaptation.;Cross-cutting Enabler: Planning
affirmation;Evidence-based planning reduces uncertainty and enhances the effectiveness of resilience measures.;Cross-cutting Enabler: Planning
affirmation;Data-sharing platforms improve access to climate risk analytics for all stakeholders.;Cross-cutting Enabler: Planning
affirmation;Developing adaptation roadmaps enables cities to align with global climate goals.;Cross-cutting Enabler: Planning
affirmation;Regular climate vulnerability assessments inform long-term urban planning strategies.;Cross-cutting Enabler: Planning
affirmation;Integrating climate adaptation into urban master plans ensures sustainable city development.;Cross-cutting Enabler: Planning
affirmation;Utilizing geospatial tools enhances the precision of climate adaptation strategies.;Cross-cutting Enabler: Planning
affirmation;Training local governments in climate adaptation planning builds capacity at the grassroots level.;Cross-cutting Enabler: Planning
affirmation;Operationalizing 100% of NDCs with adaptation components secures global climate action commitments.;Cross-cutting Enabler: Planning
affirmation;Creating comprehensive risk maps helps prioritize adaptation actions in vulnerable regions.;Cross-cutting Enabler: Planning
affirmation;Strengthening regional coordination improves the alignment of adaptation initiatives.;Cross-cutting Enabler: Planning
affirmation;Evidence-based corporate adaptation plans safeguard business continuity in a changing climate.;Cross-cutting Enabler: Planning
affirmation;Community workshops foster inclusive adaptation planning processes.;Cross-cutting Enabler: Planning
affirmation;Scaling up access to climate analytics ensures data-driven decision-making.;Cross-cutting Enabler: Planning
affirmation;Incorporating indigenous knowledge into adaptation plans improves their cultural relevance.;Cross-cutting Enabler: Planning
affirmation;Developing city-specific adaptation frameworks enhances localized climate resilience.;Cross-cutting Enabler: Planning
affirmation;Implementing early warning systems supports proactive planning for extreme weather events.;Cross-cutting Enabler: Planning
affirmation;Climate-sensitive land use planning ensures sustainable resource management.;Cross-cutting Enabler: Planning
affirmation;Monitoring adaptation plan implementation guarantees accountability and progress tracking.;Cross-cutting Enabler: Planning
affirmation;Integrating climate risks into zoning regulations minimizes exposure to hazards.;Cross-cutting Enabler: Planning
affirmation;Establishing adaptation planning task forces strengthens cross-sectoral collaboration.;Cross-cutting Enabler: Planning
affirmation;Developing climate-resilient infrastructure standards ensures long-term urban sustainability.;Cross-cutting Enabler: Planning
affirmation;Operationalizing Locally-Led Principles fosters community ownership of adaptation efforts.;Cross-cutting Enabler: Planning
affirmation;Enhancing public awareness campaigns ensures widespread support for adaptation planning.;Cross-cutting Enabler: Planning
affirmation;Integrating adaptation goals into regional development strategies aligns with national commitments.;Cross-cutting Enabler: Planning
affirmation;Providing open access to satellite imagery enhances climate impact monitoring.;Cross-cutting Enabler: Planning
affirmation;Aligning corporate adaptation strategies with national goals fosters public-private partnerships.;Cross-cutting Enabler: Planning
affirmation;Using predictive analytics strengthens adaptation planning for future climate scenarios.;Cross-cutting Enabler: Planning
affirmation;Ensuring adaptive capacity assessments guide investment priorities in vulnerable sectors.;Cross-cutting Enabler: Planning
affirmation;Embedding adaptation metrics into governance frameworks tracks progress effectively.;Cross-cutting Enabler: Planning
affirmation;Promoting cross-border climate adaptation plans enhances regional resilience.;Cross-cutting Enabler: Planning
affirmation;Integrating disaster risk reduction with adaptation planning improves emergency response.;Cross-cutting Enabler: Planning
affirmation;Advancing data standardization facilitates the sharing of climate risk information globally.;Cross-cutting Enabler: Planning
affirmation;Developing sector-specific adaptation plans tailors responses to unique climate challenges.;Cross-cutting Enabler: Planning
affirmation;Institutionalizing climate adaptation planning ensures long-term government commitment.;Cross-cutting Enabler: Planning
affirmation;Operationalizing urban resilience plans mitigates risks for growing populations.;Cross-cutting Enabler: Planning
affirmation;Expanding digital tools for adaptation planning enhances precision and scalability.;Cross-cutting Enabler: Planning
affirmation;Incorporating social equity considerations ensures adaptation plans benefit all communities.;Cross-cutting Enabler: Planning
affirmation;Updating adaptation plans based on climate projections ensures they remain relevant.;Cross-cutting Enabler: Planning
affirmation;Integrating resilience principles into public procurement supports sustainable practices.;Cross-cutting Enabler: Planning
affirmation;Leveraging citizen science enriches adaptation planning with localized data.;Cross-cutting Enabler: Planning
affirmation;Strengthening capacity-building programs accelerates adaptation planning expertise.;Cross-cutting Enabler: Planning
affirmation;Operationalizing adaptation frameworks for small island states addresses unique vulnerabilities.;Cross-cutting Enabler: Planning
affirmation;Aligning national adaptation planning with global funding mechanisms attracts resources.;Cross-cutting Enabler: Planning
affirmation;Introducing climate-smart infrastructure designs improves long-term urban resilience.;Cross-cutting Enabler: Planning
affirmation;Encouraging integrated planning across sectors enhances resource efficiency.;Cross-cutting Enabler: Planning
affirmation;Promoting transparency in adaptation planning builds trust and public engagement.;Cross-cutting Enabler: Planning
affirmation;Updating planning tools with real-time climate data improves responsiveness.;Cross-cutting Enabler: Planning
outcome_target;50% of food globally is produced through sustainable agriculture practices (incl. agro-ecological & regenerative approaches), without expansion of the agricultural frontier into pristine ecosystems, to deliver for people, nature, and climate;Food and Agriculture Systems
outcome_target;Halve global food waste and food loss per capita (relative to 2019);Food and Agriculture Systems
outcome_target;Adoption of healthy, locally-appropriate, and sustainable diets in line with global goals, respecting socio-cultural sensitivities and geographic variations. This includes increasing the global consumption per capita of fruits, vegetables, seeds, nuts, and legumes by 1.5x, while also significantly increasing the share of alternative plant-based proteins in the meat and seafood markets.;Food and Agriculture Systems
outcome_target;Protect, manage, and restore biodiversity, including by halting and reversing forest loss and land degradation and conversion of natural ecosystems for agriculture, safeguard soil health, and ensure water quality and availability, to provide healthy and functioning natural ecosystems and resources for food and agriculture and other systems;Food and Agriculture Systems
outcome_target;Scale and re-orient climate finance flows from public and private sources towards resilient, inclusive, and sustainable food systems, increasing direct access for small-scale family farmers, women, youth, and Indigenous Peoples, aligned with climate risk-informed food policies and plans;Food and Agriculture Systems
outcome_target;By 2030, end hunger and malnutrition in all its forms, in particular for the poorest and most vulnerable, including infants, through access to safe, nutritious and sufficient food all year round;Food and Agriculture Systems
outcome_target;Advance a just and inclusive food systems transition, ensuring equitable and resilient livelihoods and meaningfully engaging all relevant stakeholders, and especially smallholders, women, youth and Indigenous Peoples, in relevant plans, processes and finances that affect them, with special emphasis on supporting their efforts to secure land and resource tenure rights, as well as boosting local markets for local consumption;Food and Agriculture Systems
affirmation;Introducing vertical farming can maximize urban food production efficiently.;Food and Agriculture Systems
affirmation;Educating farmers on sustainable agricultural techniques improves crop yield.;Food and Agriculture Systems
affirmation;Supporting local food markets boosts community resilience to supply chain disruptions.;Food and Agriculture Systems
affirmation;Reducing food waste is essential to addressing hunger and resource scarcity.;Food and Agriculture Systems
affirmation;Promoting climate-smart farming practices helps adapt to erratic weather patterns.;Food and Agriculture Systems
affirmation;Providing drought-resistant seeds enables communities to combat water shortages.;Food and Agriculture Systems
affirmation;Encouraging agroforestry helps maintain soil fertility and capture carbon.;Food and Agriculture Systems
affirmation;Improving cold storage infrastructure minimizes post-harvest losses.;Food and Agriculture Systems
affirmation;Community gardens empower urban areas to enhance food security locally.;Food and Agriculture Systems
affirmation;Facilitating access to sustainable fertilizers increases productivity while protecting ecosystems.;Food and Agriculture Systems
affirmation;Promoting sustainable agriculture ensures that half of global food is produced without expanding agricultural frontiers.;Food and Agriculture Systems
affirmation;Encouraging agro-ecological practices safeguards soil health and boosts crop resilience.;Food and Agriculture Systems
affirmation;Halving global food waste and loss reduces resource inefficiency and improves food security.;Food and Agriculture Systems
affirmation;Adopting regenerative agriculture methods restores soil fertility and enhances ecosystem services.;Food and Agriculture Systems
affirmation;Increasing global consumption of fruits, vegetables, seeds, nuts, and legumes improves health and sustainability.;Food and Agriculture Systems
affirmation;Promoting alternative plant-based proteins diversifies diets and reduces pressure on natural ecosystems.;Food and Agriculture Systems
affirmation;Restoring degraded farmlands ensures the availability of resources for future food production.;Food and Agriculture Systems
affirmation;Halting forest loss for agricultural expansion protects biodiversity and reduces carbon emissions.;Food and Agriculture Systems
affirmation;Scaling up climate finance for small-scale farmers strengthens their resilience to climate risks.;Food and Agriculture Systems
affirmation;Ending hunger and malnutrition by 2030 ensures food access for the poorest and most vulnerable communities.;Food and Agriculture Systems
affirmation;Advancing equitable food systems transitions improves livelihoods for smallholders, women, and Indigenous Peoples.;Food and Agriculture Systems
affirmation;Encouraging local markets for local consumption reduces transportation emissions and supports local economies.;Food and Agriculture Systems
affirmation;Protecting water quality enhances sustainable food production and ecosystem health.;Food and Agriculture Systems
affirmation;Reversing land degradation secures long-term agricultural productivity.;Food and Agriculture Systems
affirmation;Incorporating socio-cultural sensitivities into diet transitions fosters acceptance and success of sustainable practices.;Food and Agriculture Systems
affirmation;Boosting the adoption of climate-smart farming techniques reduces vulnerability to erratic weather patterns.;Food and Agriculture Systems
affirmation;Increasing funding access for women farmers fosters gender equity in agriculture.;Food and Agriculture Systems
affirmation;Promoting local crop varieties strengthens community resilience and biodiversity.;Food and Agriculture Systems
affirmation;Expanding agroforestry systems integrates food production with forest conservation.;Food and Agriculture Systems
affirmation;Reducing per capita food loss mitigates resource wastage and addresses hunger.;Food and Agriculture Systems
affirmation;Enhancing soil health management increases crop yield and combats desertification.;Food and Agriculture Systems
affirmation;Investing in farm-to-table initiatives connects producers directly with consumers for fresher, healthier food.;Food and Agriculture Systems
affirmation;Increasing the share of sustainable diets supports both human health and the environment.;Food and Agriculture Systems
affirmation;Encouraging plant-based food innovation accelerates the transition to sustainable eating habits.;Food and Agriculture Systems
affirmation;Ensuring land tenure rights for smallholders enhances their ability to invest in sustainable farming.;Food and Agriculture Systems
affirmation;Reducing fertilizer runoff protects water ecosystems and improves agricultural efficiency.;Food and Agriculture Systems
affirmation;Developing community seed banks preserves crop diversity and supports small-scale farmers.;Food and Agriculture Systems
affirmation;Increasing access to nutritious food all year round reduces malnutrition in vulnerable populations.;Food and Agriculture Systems
affirmation;Building equitable food systems engages all stakeholders in meaningful and inclusive ways.;Food and Agriculture Systems
affirmation;Investing in local processing facilities reduces post-harvest losses and creates jobs.;Food and Agriculture Systems
affirmation;Supporting youth engagement in agriculture builds resilience and innovation in the sector.;Food and Agriculture Systems
affirmation;Ensuring sufficient climate financing for family farmers aligns with inclusive food system goals.;Food and Agriculture Systems
affirmation;Promoting healthy eating habits reduces the prevalence of diet-related diseases globally.;Food and Agriculture Systems
affirmation;Adopting agro-ecological farming approaches mitigates climate change impacts on agriculture.;Food and Agriculture Systems
affirmation;Improving irrigation efficiency ensures water availability for agricultural and other uses.;Food and Agriculture Systems
affirmation;Expanding urban farming initiatives enhances food security in growing cities.;Food and Agriculture Systems
affirmation;Educating farmers on sustainable practices fosters long-term resilience in food production.;Food and Agriculture Systems
affirmation;Reducing food transportation distances minimizes greenhouse gas emissions.;Food and Agriculture Systems
affirmation;Encouraging biodiversity-friendly agriculture supports pollinators and ecosystem stability.;Food and Agriculture Systems
affirmation;Supporting women in agriculture empowers communities and enhances food security.;Food and Agriculture Systems
affirmation;Increasing investment in local agricultural supply chains strengthens regional economies.;Food and Agriculture Systems
affirmation;Implementing water-saving technologies in farming preserves resources and reduces costs.;Food and Agriculture Systems
affirmation;Reducing deforestation driven by agriculture ensures sustainable food production systems.;Food and Agriculture Systems
affirmation;Fostering collaboration among stakeholders aligns efforts toward sustainable food system transitions.;Food and Agriculture Systems
affirmation;Improving post-harvest storage infrastructure prevents spoilage and food waste.;Food and Agriculture Systems
affirmation;Ensuring market access for small-scale farmers enhances their economic stability.;Food and Agriculture Systems
affirmation;Encouraging crop rotation and diversification improves soil health and productivity.;Food and Agriculture Systems
affirmation;Expanding access to regenerative agriculture education builds capacity for sustainable practices.;Food and Agriculture Systems
affirmation;Halving per capita food loss aligns with global climate and food security goals.;Food and Agriculture Systems
affirmation;Promoting fair trade practices improves equity across global food supply chains.;Food and Agriculture Systems
affirmation;Advancing local food production reduces reliance on imports and strengthens food sovereignty.;Food and Agriculture Systems
affirmation;Protecting soil health ensures the longevity of agricultural productivity for future generations.;Food and Agriculture Systems
affirmation;Providing access to healthy diets reduces global malnutrition and improves overall well-being.;Food and Agriculture Systems
affirmation;Increasing plant-based protein production reduces pressure on livestock systems and natural resources.;Food and Agriculture Systems
affirmation;Expanding farmer access to renewable energy technologies enhances productivity and sustainability.;Food and Agriculture Systems
outcome_target;Health systems and facilities are resilient to climate hazards and vulnerable populations have access to safe and quality health services;Health systems
outcome_target;Multi-sectoral heat action plans and health-sector action plans protect high risk populations (older persons, workers, impoverished, marginalized), for 50% of the populations exposed to extreme heat;Health systems
outcome_target;All countries have climate-informed health surveillance and early warning systems in place for priority climate-sensitive diseases, including vector-borne, water-related, airborne;Health systems
outcome_target;Increase financing flows to build climate-resilient health systems;Health systems
affirmation;Expanding vaccination programs addresses the spread of climate-sensitive diseases, like malaria and dengue.;Health Systems
affirmation;Increasing access to clean drinking water reduces waterborne diseases.;Health Systems
affirmation;Training healthcare workers improves capacity to handle climate-induced health crises.;Health Systems
affirmation;Introducing mobile clinics enhances healthcare access in remote areas.;Health Systems
affirmation;Expanding research on climate-linked diseases improves prevention and treatment.;Health Systems
affirmation;Strengthening supply chains ensures timely access to medical supplies.;Health Systems
affirmation;Building climate-resilient hospitals reduces service disruption during natural disasters.;Health Systems
affirmation;Promoting public health education campaigns increases awareness of climate risks.;Health Systems
affirmation;Providing solar-powered healthcare facilities ensures uninterrupted operations.;Health Systems
affirmation;Encouraging collaboration between governments and NGOs strengthens healthcare systems.;Health Systems
affirmation;Developing climate-resilient healthcare facilities ensures continuous service during extreme weather events.;Health Systems
