text;action;action cluster;action_type
Analytics provide insights into resource allocation for disaster-prone areas.;Analytics Based On Big Data/Ai To Understand Impacts And Adaptation Efficacy;Data generation and processing;Climate risk and vulnerability assessments, disclosure and monitoring actions
AI helps optimize renewable energy systems based on regional needs.;Analytics Based On Big Data/Ai To Understand Impacts And Adaptation Efficacy;Data generation and processing;Climate risk and vulnerability assessments, disclosure and monitoring actions
Machine learning identifies which communities benefit most from adaptation investments.;Analytics Based On Big Data/Ai To Understand Impacts And Adaptation Efficacy;Data generation and processing;Climate risk and vulnerability assessments, disclosure and monitoring actions
Big data integrates satellite imagery to assess ecosystem health.;Analytics Based On Big Data/Ai To Understand Impacts And Adaptation Efficacy;Data generation and processing;Climate risk and vulnerability assessments, disclosure and monitoring actions
AI tools evaluate the long-term success of carbon reduction initiatives.;Analytics Based On Big Data/Ai To Understand Impacts And Adaptation Efficacy;Data generation and processing;Climate risk and vulnerability assessments, disclosure and monitoring actions
Analytics reveal how urban heat island effects evolve under changing climates.;Analytics Based On Big Data/Ai To Understand Impacts And Adaptation Efficacy;Data generation and processing;Climate risk and vulnerability assessments, disclosure and monitoring actions
Big data monitors the implementation of climate adaptation policies globally.;Analytics Based On Big Data/Ai To Understand Impacts And Adaptation Efficacy;Data generation and processing;Climate risk and vulnerability assessments, disclosure and monitoring actions
Assisted migration relocates species to habitats better suited to climate changes.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Managed translocation efforts focus on preserving endangered species.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Species are moved to cooler regions to adapt to rising temperatures.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Assisted migration addresses habitat loss due to deforestation and urbanization.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Managed translocation involves collaboration between conservationists and scientists.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Programs relocate plant species to areas with better growing conditions.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Assisted migration efforts minimize risks of extinction for vulnerable populations.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Managed translocation incorporates genetic diversity considerations.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Public engagement supports the success of assisted migration initiatives.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Relocation projects integrate monitoring to track the success of translocated species.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Assisted Migration Or Managed Translocation.;Assisted Migration Or Managed Translocation;Social protection actions;Risk transfer: insurance and social protection instruments
Awareness Raising And Integrating Into Education;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Awareness campaigns emphasize the importance of integrating climate adaptation into school curricula.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Workshops raise awareness about local climate impacts among educators and students.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Educational programs focus on the role of individuals in mitigating climate change.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Community leaders are trained to integrate climate awareness into local educational efforts.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Governments fund initiatives to embed environmental education in schools.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Climate clubs in schools promote peer-led awareness activities.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Awareness campaigns highlight the link between environmental health and human well-being.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Universities offer courses on climate adaptation as part of sustainable development programs.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Public libraries host exhibitions on climate adaptation to engage communities.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Online platforms provide free access to climate education materials for teachers and students.;Awareness Raising And Integrating Into Education;Community-based, inclusive, and participatory risk reduction;Sharing of knowledge and best practices on climate risk management
Beach nourishment projects restore sand to eroded shorelines.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Nourishment prevents coastal erosion, protecting local ecosystems.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Beach nourishment supports tourism by maintaining attractive coastal areas.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Sand used for nourishment is sourced sustainably to avoid environmental damage.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Coastal communities use beach nourishment to create natural buffers against storm surges.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Beach nourishment programs enhance the resilience of barrier islands.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Regular monitoring ensures the effectiveness of beach nourishment projects.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Governments fund nourishment projects to protect public infrastructure along coastlines.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Beach nourishment programs integrate with coastal restoration initiatives.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Public awareness campaigns highlight the benefits of beach nourishment for resilience.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Beach Nourishment.;Beach Nourishment;Coastal infrastructure protection;Climate-proofing of infrastructure and services
Climate risks like flooding and heatwaves are integrated into updated building codes.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Modern building codes mandate materials resistant to extreme weather.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Building codes now require elevated structures in flood-prone areas.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Incorporating climate risks into building codes ensures safer construction.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
New housing projects must comply with climate-adapted building codes.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Building codes for coastal areas now account for sea-level rise.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Climate-smart building codes include heat-reflective roofing requirements.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Updated codes ensure that structures can withstand higher wind speeds from storms.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Building codes require energy-efficient designs to mitigate climate impacts.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Cities are revising building codes to integrate projections of future climate risks.;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Building Codes (Integrate Main Climate Risks In The Bulding Codes).;Building Codes (Integrate Main Climate Risks In The Bulding Codes);Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Building insulation reduces energy consumption by maintaining indoor temperatures.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Proper insulation enhances the efficiency of heating and cooling systems.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Governments provide incentives for retrofitting homes with modern insulation.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Insulated walls and roofs reduce greenhouse gas emissions from buildings.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Insulation materials like fiberglass and foam are widely used in construction.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Thermal insulation improves comfort while lowering energy bills.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Building insulation helps mitigate the effects of extreme heat and cold.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Energy-efficient buildings prioritize insulation to meet sustainability goals.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Insulation techniques are integrated into green building certification standards.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Retrofitting old buildings with insulation reduces their environmental impact.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Building Insulation.;Building Insulation;Energy efficiency and renewable energy technologies;Climate-proofing of infrastructure and services
Building standards ensure the structural safety of buildings during disasters.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
New building standards emphasize sustainability and energy efficiency.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Standards for construction materials reduce vulnerabilities to hazards.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Building standards require adherence to hazard-resistant design principles.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
International building standards influence national regulations for resilience.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Standards mandate the use of fire-resistant materials in wildfire-prone regions.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Updated building standards prioritize accessibility for all residents.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Green building standards focus on reducing environmental impacts.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Strict adherence to building standards minimizes risks during extreme weather events.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Building standards set benchmarks for quality and resilience across the industry.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Building Standards.;Building Standards;Building regulations and standards for climate resilience;Establishment of effective governance to manage climate risks accompanied by human and institutional capacity-building
Prescribed fires reduce the intensity of wildfires by clearing dry vegetation.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Fire management strategies include controlled burns to minimize bushfire risks.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Prescribed fires help restore natural ecosystems by promoting native plant growth.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Controlled burns are scheduled during low-risk weather conditions to ensure safety.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Bushfire reduction efforts involve community participation in fire management programs.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Prescribed fire programs protect property and lives by reducing fire hazards.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Controlled burns recycle nutrients back into the soil, enhancing its fertility.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Fire management plans integrate prescribed fires as part of long-term ecosystem care.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Bushfire reduction programs include educating the public on prescribed fire benefits.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Prescribed burns maintain ecological balance by preventing overgrowth in fire-prone areas.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Bushfire Reduction And Prescribed Fire.;Bushfire Reduction And Prescribed Fire;Conservation and restoration of terrestrial and aquatic ecosystems;Nature-based solutions used to reduce risks
Cash transfer programs support low-income families during economic hardships.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Governments provide conditional cash transfers linked to health and education goals.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Emergency cash transfers assist communities affected by natural disasters.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Cash transfer initiatives empower women to invest in household sustainability.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Unconditional cash transfers provide immediate relief during crises.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Cash transfers encourage local economic activity by increasing household spending.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Digital platforms streamline cash transfer programs for faster delivery.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Governments partner with NGOs to ensure efficient cash transfer distribution.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Cash transfers are targeted to support smallholder farmers during droughts.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Research shows that cash transfers reduce poverty and promote social equity.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Cash Transfers.;Cash Transfers;Climate insurance and risk transfer;Risk transfer: insurance and social protection instruments
Catastrophe bonds provide financial support for disaster recovery efforts.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Investors purchase catastrophe bonds to fund resilience-building projects.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Bonds reduce financial strain on governments after natural disasters.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Catastrophe bonds are triggered when pre-defined climate thresholds are exceeded.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Insurers use catastrophe bonds to transfer risks to the capital markets.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Revenue from catastrophe bonds funds rebuilding critical infrastructure.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
International agencies support catastrophe bond issuance for vulnerable regions.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Catastrophe bonds promote pre-disaster planning by incentivizing risk reduction measures.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Municipalities issue catastrophe bonds to enhance local resilience capacities.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Catastrophe bonds encourage private sector engagement in disaster risk financing.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Catastrophe Bonds.;Catastrophe Bonds;Financial tools and investments in case of climate disasters;Increase in the volume, quality and access of public and private finance to invest in resilience
Changing planting dates helps farmers adapt to shifting rainfall patterns.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Farmers adjust cropping patterns to optimize yields under changing climates.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Rotating crops reduces the risk of soil depletion and pest outbreaks.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Altering planting schedules improves synchronization with favorable weather conditions.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Switching to intercropping systems enhances resilience to climate variability.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Adjusting planting times minimizes crop losses from extreme temperature events.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Farmers use weather forecasts to decide on planting and harvesting schedules.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Diversifying crop types improves food security under uncertain climate conditions.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Crop zoning guides farmers in selecting the best locations for planting.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Water-efficient crops are prioritized in regions with changing precipitation patterns.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Changing Cropping Practices, Patterns, And Planting Dates.;Changing Cropping Practices, Patterns, And Planting Dates;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Changing livestock practices includes rotating grazing areas to prevent overgrazing.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Farmers adopt water-saving techniques for livestock management during droughts.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Aquaculture practices shift to using more resilient fish species.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Livestock shelters are designed to protect animals from extreme heat and cold.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Farmers integrate silvopasture systems to provide shade and fodder for livestock.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Improving feed efficiency reduces methane emissions from livestock.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Floating aquaculture systems adapt to rising sea levels and saline water.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Vaccination programs prevent disease outbreaks in livestock under changing climates.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Farmers adopt aquaponics systems to integrate aquaculture with sustainable crop production.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Community-led aquaculture initiatives increase food security and economic resilience.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Changing Livestock And Aquaculture Practices.;Changing Livestock And Aquaculture Practices;Actions in agricultural, livestock, forestry, and aquaculture practices;Sharing of knowledge and best practices on climate risk management
Seasonal forecasts provide insights into upcoming drought conditions.;Climate Services (Forecasts And Others);Climate services and modeling;Climate risk and vulnerability assessments, disclosure and monitoring actions
